,energy,Sb-271-281-291-301-s,Sb-271-281-291-301-p,Sb-271-281-291-301-d,Te-1:5-s,Te-1:5-p,Te-1:5-d
75,-11.87351063,0.32872,0.024917599999999998,0.001158711,3.3885000000000005,0.014044599999999999,0.000779761
76,-11.84251063,0.35192,0.0296996,0.001592782,3.8974,0.015142099999999999,0.0008423629999999999
77,-11.81051063,0.35103999999999996,0.032190300000000005,0.0018961730000000001,3.9972000000000003,0.0169433,0.0008753789999999999
78,-11.77951063,0.32627,0.0324783,0.0019272640000000001,3.6225,0.019679999999999996,0.0009449980000000001
79,-11.74751063,0.28575999999999996,0.031999400000000004,0.001753057,3.0572,0.0204002,0.000929238
80,-11.71551063,0.26832999999999996,0.030460000000000004,0.001574603,2.5938,0.018432300000000002,0.000773675
81,-11.68451063,0.29052999999999995,0.0284465,0.001499174,2.5984,0.0179412,0.000642772
82,-11.65251063,0.31831,0.0261691,0.001408855,2.9465000000000003,0.020826300000000002,0.00062162
83,-11.62151063,0.32788,0.024548499999999997,0.0014462879999999998,3.2789,0.0241801,0.000673468
84,-11.58951063,0.33897,0.0256304,0.0017723190000000003,3.5023999999999997,0.025805599999999998,0.000831816
85,-11.55851063,0.35597,0.0279614,0.002009338,3.5467999999999997,0.0267921,0.001072603
86,-11.52651063,0.32714,0.027367500000000003,0.001833476,3.3108000000000004,0.027004600000000004,0.001219999
87,-11.49451063,0.26080000000000003,0.0237166,0.001455382,2.8577000000000004,0.024805499999999998,0.0012114909999999999
88,-11.46351063,0.23373,0.0205603,0.001176613,2.3756,0.0232977,0.001197707
89,-11.43151063,0.24364999999999998,0.019264000000000003,0.0010376229999999999,1.9939,0.025541,0.0012440349999999999
90,-11.40051063,0.23726000000000003,0.0180858,0.0009280349999999999,1.7261000000000002,0.028377899999999998,0.001230343
91,-11.36851063,0.24695,0.017484899999999998,0.0009234860000000001,1.5682,0.029657799999999998,0.001154604
92,-11.33651063,0.31368,0.019781800000000002,0.001193923,1.5854,0.0295917,0.001123515
93,-11.30551063,0.39108,0.0229492,0.001628377,1.7321,0.0286041,0.001149317
94,-11.27351063,0.44092,0.0235905,0.0019729329999999996,1.7692999999999999,0.028210900000000004,0.0012161759999999998
95,-11.242510630000002,0.4571,0.023034199999999998,0.002110075,1.5333999999999999,0.027746599999999996,0.001268202
96,-11.210510630000002,0.4302,0.0229689,0.002000629,1.2152,0.026990999999999998,0.001191868
